Current Liabilities 2023,Current Liabilities 2022,Long Term Debt 2023,Long Term Debt 2022,Total Assets 2023,Total Assets 2022,Share Issued 2023,Share Issued 2022
6563000000.0,4335000000.0,9703000000.0,10946000000.0,41182000000.0,44187000000.0,24661365720.0,25060000000.0
6369000000.0,4240000000.0,2467000000.0,1000000.0,67580000000.0,12419000000.0,1645000000.0,1232000000.0
986563600000.0,758352800000.0,839096400000.0,613379700000.0,4964459100000.0,3725302200000.0,25930380458.0,25930380458.0
17983600000.0,12298000000.0,3514200000.0,4075000000.0,36300400000.0,30231000000.0,403138042.0,406475276.0
7539000000.0,6424000000.0,6020000000.0,5972000000.0,66283000000.0,58849000000.0,1226000000.0,1216000000.0
7379000000.0,6344000000.0,5457000000.0,5452000000.0,26726000000.0,25825000000.0,2017000000.0,2011000000.0
69300000000.0,64254000000.0,12857000000.0,12844000000.0,365264000000.0,359268000000.0,12849000000.0,13242420000.0
153982000000.0,125481000000.0,98959000000.0,109106000000.0,352755000000.0,351002000000.0,15943425000.0,16426786000.0
27026000000.0,21135000000.0,9923000000.0,,185727000000.0,165987000000.0,2614000000.0,2741000000.0
26709000000.0,19705000000.0,1029000000.0,4254000000.0,82338000000.0,62131000000.0,3164000000.0,3099000000.0
18873000000.0,15931000000.0,65873000000.0,59684000000.0,178086000000.0,169587000000.0,770000000.0,769000000.0
