Ticker,Free Cash Flow,index
NVDA,27021000000.0,2024-01-31
NVDA,3808000000.0,2023-01-31
NVDA,8132000000.0,2022-01-31
NVDA,4694000000.0,2021-01-31
AMD,1121000000.0,2023-12-31
AMD,3115000000.0,2022-12-31
AMD,3220000000.0,2021-12-31
AMD,777000000.0,2020-12-31
TSM,286568900000.0,2023-12-31
TSM,520972800000.0,2022-12-31
TSM,262724300000.0,2021-12-31
TSM,305885100000.0,2020-12-31
ASML,3247200000.0,2023-12-31
ASML,7167500000.0,2022-12-31
ASML,9905500000.0,2021-12-31
ASML,3626800000.0,2020-12-31
MU,-6117000000.0,2023-08-31
MU,3114000000.0,2022-08-31
MU,2438000000.0,2021-08-31
MU,83000000.0,2020-08-31
AMAT,7594000000.0,2023-10-31
AMAT,4612000000.0,2022-10-31
AMAT,4774000000.0,2021-10-31
AMAT,3382000000.0,2020-10-31
GOOG,69495000000.0,2023-12-31
GOOG,60010000000.0,2022-12-31
GOOG,67012000000.0,2021-12-31
GOOG,42843000000.0,2020-12-31
AAPL,99584000000.0,2023-09-30
AAPL,111443000000.0,2022-09-30
AAPL,92953000000.0,2021-09-30
AAPL,73365000000.0,2020-09-30
META,43847000000.0,2023-12-31
META,19044000000.0,2022-12-31
META,38993000000.0,2021-12-31
META,23584000000.0,2020-12-31
TSLA,4357000000.0,2023-12-31
TSLA,7552000000.0,2022-12-31
TSLA,3483000000.0,2021-12-31
TSLA,2701000000.0,2020-12-31
DUK,-2726000000.0,2023-12-31
DUK,-5440000000.0,2022-12-31
DUK,-1425000000.0,2021-12-31
DUK,-1051000000.0,2020-12-31
X,-476000000.0,2023-12-31
X,1736000000.0,2022-12-31
X,3227000000.0,2021-12-31
X,-587000000.0,2020-12-31
PG,13786000000.0,2023-06-30
PG,13567000000.0,2022-06-30
PG,15584000000.0,2021-06-30
PG,14330000000.0,2020-06-30
CVS,10395000000.0,2023-12-31
CVS,13450000000.0,2022-12-31
CVS,15745000000.0,2021-12-31
CVS,13428000000.0,2020-12-31
