"Week","chatgpt: (Worldwide)","AI: (Worldwide)","Artificial intelligence: (Worldwide)"
2019-07-21,0,13,9
2019-07-28,0,13,9
2019-08-04,0,13,8
2019-08-11,0,13,8
2019-08-18,0,13,8
2019-08-25,0,13,8
2019-09-01,0,13,7
2019-09-08,0,14,8
2019-09-15,0,13,8
2019-09-22,0,14,8
2019-09-29,0,14,8
2019-10-06,0,14,8
2019-10-13,0,14,8
2019-10-20,0,13,8
2019-10-27,0,14,8
2019-11-03,0,14,8
2019-11-10,0,14,8
2019-11-17,0,14,8
2019-11-24,0,13,8
2019-12-01,0,13,8
2019-12-08,0,14,8
2019-12-15,0,14,8
2019-12-22,0,14,7
2019-12-29,0,14,7
2020-01-05,0,13,7
2020-01-12,0,13,7
2020-01-19,0,14,8
2020-01-26,0,14,8
2020-02-02,0,13,8
2020-02-09,0,14,8
2020-02-16,0,14,9
2020-02-23,0,13,8
2020-03-01,0,14,8
2020-03-08,0,14,8
2020-03-15,0,14,8
2020-03-22,0,15,8
2020-03-29,0,16,8
2020-04-05,0,16,8
2020-04-12,0,14,9
2020-04-19,0,16,8
2020-04-26,0,15,8
2020-05-03,0,15,8
2020-05-10,0,15,9
2020-05-17,0,15,9
2020-05-24,0,14,8
2020-05-31,0,13,8
2020-06-07,0,14,8
2020-06-14,0,14,8
2020-06-21,0,14,8
2020-06-28,0,13,7
2020-07-05,0,13,7
2020-07-12,0,13,7
2020-07-19,0,13,7
2020-07-26,0,13,7
2020-08-02,0,14,7
2020-08-09,0,13,7
2020-08-16,0,14,7
2020-08-23,0,14,7
2020-08-30,0,13,7
2020-09-06,0,13,8
2020-09-13,0,14,7
2020-09-20,0,13,8
2020-09-27,0,13,7
2020-10-04,0,13,7
2020-10-11,0,14,7
2020-10-18,0,13,7
2020-10-25,0,13,7
2020-11-01,0,13,7
2020-11-08,0,14,7
2020-11-15,0,14,7
2020-11-22,0,14,7
2020-11-29,0,14,8
2020-12-06,0,14,8
2020-12-13,0,14,8
2020-12-20,0,14,8
2020-12-27,0,14,7
2021-01-03,0,13,8
2021-01-10,0,14,8
2021-01-17,0,15,8
2021-01-24,0,14,8
2021-01-31,0,14,7
2021-02-07,0,14,8
2021-02-14,0,14,8
2021-02-21,0,14,9
2021-02-28,0,14,8
2021-03-07,0,17,9
2021-03-14,0,16,9
2021-03-21,"<1",15,9
2021-03-28,0,16,7
