,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Free Cash Flow,379000000.0,242000000.0,297000000.0,254000000.0,328000000.0,
Repurchase Of Capital Stock,-133000000.0,-278000000.0,-806000000.0,-66000000.0,-262000000.0,
Repayment Of Debt,,0.0,,,,0.0
Issuance Of Debt,,0.0,0.0,,,0.0
Capital Expenditure,-142000000.0,-139000000.0,-124000000.0,-125000000.0,-158000000.0,
Income Tax Paid Supplemental Data,87000000.0,489000000.0,-12000000.0,25000000.0,21000000.0,
End Cash Position,4190000000.0,3933000000.0,3561000000.0,3841000000.0,3825000000.0,
Beginning Cash Position,3933000000.0,3561000000.0,3841000000.0,3825000000.0,4835000000.0,
Changes In Cash,257000000.0,372000000.0,-280000000.0,16000000.0,-1010000000.0,
Financing Cash Flow,-129000000.0,-159000000.0,-803000000.0,75000000.0,-259000000.0,
Cash Flow From Continuing Financing Activities,-129000000.0,-159000000.0,-803000000.0,75000000.0,-259000000.0,
Net Other Financing Charges,-1000000.0,-1000000.0,,,,0.0
Proceeds From Stock Option Exercised,5000000.0,120000000.0,4000000.0,141000000.0,3000000.0,
Net Common Stock Issuance,-133000000.0,-278000000.0,-806000000.0,-66000000.0,-262000000.0,
Common Stock Payments,-133000000.0,-278000000.0,-806000000.0,-66000000.0,-262000000.0,
Net Issuance Payments Of Debt,,0.0,0.0,,,0.0
Net Long Term Debt Issuance,,0.0,0.0,,,0.0
Long Term Debt Payments,,0.0,,,,0.0
Long Term Debt Issuance,,0.0,0.0,,,0.0
Investing Cash Flow,-135000000.0,150000000.0,102000000.0,-438000000.0,-1237000000.0,
Cash Flow From Continuing Investing Activities,-135000000.0,150000000.0,102000000.0,-438000000.0,-1237000000.0,
Net Other Investing Changes,-3000000.0,-6000000.0,-10000000.0,-1000000.0,6000000.0,
Net Investment Purchase And Sale,10000000.0,412000000.0,250000000.0,-312000000.0,-1085000000.0,
Sale Of Investment,443000000.0,822000000.0,746000000.0,801000000.0,618000000.0,
Purchase Of Investment,-433000000.0,-410000000.0,-496000000.0,-1113000000.0,-1703000000.0,
Net Business Purchase And Sale,,-117000000.0,-14000000.0,0.0,0.0,14000000.0
Sale Of Business,,0.0,0.0,0.0,0.0,0.0
Purchase Of Business,,-117000000.0,-14000000.0,,,14000000.0
Net PPE Purchase And Sale,-142000000.0,-139000000.0,-124000000.0,-125000000.0,-158000000.0,
Purchase Of PPE,-142000000.0,-139000000.0,-124000000.0,-125000000.0,-158000000.0,
Operating Cash Flow,521000000.0,381000000.0,421000000.0,379000000.0,486000000.0,
Cash Flow From Continuing Operating Activities,521000000.0,381000000.0,421000000.0,379000000.0,486000000.0,
Change In Working Capital,-760000000.0,-1242000000.0,-838000000.0,-582000000.0,-387000000.0,
Change In Other Working Capital,53000000.0,,,,-109000000.0,
Change In Payables And Accrued Expense,-461000000.0,-915000000.0,-75000000.0,-41000000.0,291000000.0,
Change In Accrued Expense,175000000.0,-771000000.0,459000000.0,-127000000.0,218000000.0,
Change In Payable,-636000000.0,-144000000.0,-534000000.0,86000000.0,73000000.0,
Change In Account Payable,-636000000.0,-181000000.0,-547000000.0,236000000.0,73000000.0,
Change In Prepaid Assets,-322000000.0,-92000000.0,-143000000.0,-46000000.0,-191000000.0,
Change In Inventory,-368000000.0,94000000.0,122000000.0,-332000000.0,-464000000.0,
Change In Receivables,338000000.0,-329000000.0,-742000000.0,-272000000.0,86000000.0,
Changes In Account Receivables,338000000.0,-321000000.0,-743000000.0,-272000000.0,86000000.0,
Other Non Cash Items,43000000.0,-24000000.0,-23000000.0,-22000000.0,5000000.0,
Stock Based Compensation,371000000.0,374000000.0,353000000.0,348000000.0,309000000.0,
Deferred Tax,-66000000.0,-219000000.0,-218000000.0,-274000000.0,-308000000.0,
Deferred Income Tax,-66000000.0,-219000000.0,-218000000.0,-274000000.0,-308000000.0,
Depreciation Amortization Depletion,810000000.0,824000000.0,848000000.0,873000000.0,1006000000.0,
Depreciation And Amortization,810000000.0,824000000.0,848000000.0,873000000.0,1006000000.0,
Depreciation,810000000.0,824000000.0,848000000.0,873000000.0,1006000000.0,
Operating Gains Losses,,1000000.0,0.0,4000000.0,5000000.0,6000000.0
Earnings Losses From Equity Investments,,,,,-1000000.0,5000000.0
Gain Loss On Investment Securities,,,-3000000.0,3000000.0,-1000000.0,5000000.0
Gain Loss On Sale Of PPE,,1000000.0,3000000.0,1000000.0,6000000.0,1000000.0
Net Income From Continuing Operations,123000000.0,667000000.0,299000000.0,27000000.0,-139000000.0,
