,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Free Cash Flow,4198000000.0,-3547000000.0,2171000000.0,5317000000.0,6454000000.0,
Repurchase Of Capital Stock,-3027000000.0,1000000.0,3000000.0,2000000.0,-2018000000.0,
Repayment Of Debt,-18000000.0,-432000000.0,-947000000.0,-6425000000.0,-362000000.0,
Issuance Of Debt,2519000000.0,200000000.0,-1000000000.0,10947000000.0,5951000000.0,
Capital Expenditure,-705000000.0,-911000000.0,-545000000.0,-591000000.0,-984000000.0,
End Cash Position,10107000000.0,8525000000.0,13375000000.0,14127000000.0,14955000000.0,
Beginning Cash Position,8525000000.0,13375000000.0,14127000000.0,14955000000.0,13305000000.0,
Changes In Cash,1582000000.0,-4850000000.0,-752000000.0,-828000000.0,1650000000.0,
Financing Cash Flow,-1227000000.0,-972000000.0,-2697000000.0,3626000000.0,2726000000.0,
Cash Flow From Continuing Financing Activities,-1227000000.0,-972000000.0,-2697000000.0,3626000000.0,2726000000.0,
Net Other Financing Charges,-64000000.0,3000000.0,-96000000.0,-127000000.0,-162000000.0,
Proceeds From Stock Option Exercised,203000000.0,35000000.0,122000000.0,24000000.0,96000000.0,
Cash Dividends Paid,-840000000.0,-779000000.0,-779000000.0,-795000000.0,-779000000.0,
Common Stock Dividend Paid,-840000000.0,-779000000.0,-779000000.0,-795000000.0,-779000000.0,
Net Common Stock Issuance,-3027000000.0,1000000.0,3000000.0,2000000.0,-2018000000.0,
Common Stock Payments,-3027000000.0,1000000.0,3000000.0,2000000.0,-2018000000.0,
Net Issuance Payments Of Debt,2501000000.0,-232000000.0,-1947000000.0,4522000000.0,5589000000.0,
Net Short Term Debt Issuance,2519000000.0,200000000.0,-1000000000.0,1000000000.0,0.0,
Short Term Debt Payments,,0.0,0.0,,,
Short Term Debt Issuance,2519000000.0,200000000.0,-1000000000.0,6000000000.0,0.0,
Net Long Term Debt Issuance,-18000000.0,-432000000.0,-947000000.0,3522000000.0,5589000000.0,
Long Term Debt Payments,-18000000.0,-432000000.0,-947000000.0,-1425000000.0,-362000000.0,
Long Term Debt Issuance,0.0,0.0,0.0,4947000000.0,5951000000.0,
Investing Cash Flow,-2094000000.0,-1242000000.0,-771000000.0,-10362000000.0,-8514000000.0,
Cash Flow From Continuing Investing Activities,-2094000000.0,-1242000000.0,-771000000.0,-10362000000.0,-8514000000.0,
Net Other Investing Changes,28000000.0,25000000.0,11000000.0,1000000.0,31000000.0,
Net Investment Purchase And Sale,-1392000000.0,-236000000.0,-219000000.0,-392000000.0,-467000000.0,
Sale Of Investment,2153000000.0,2182000000.0,1907000000.0,1749000000.0,1891000000.0,
Purchase Of Investment,-3545000000.0,-2418000000.0,-2126000000.0,-2141000000.0,-2358000000.0,
Net Business Purchase And Sale,-25000000.0,-120000000.0,-18000000.0,-9380000000.0,-7094000000.0,
Purchase Of Business,-25000000.0,-120000000.0,-18000000.0,-9380000000.0,-7094000000.0,
Net PPE Purchase And Sale,-705000000.0,-911000000.0,-545000000.0,-591000000.0,-984000000.0,
Purchase Of PPE,-705000000.0,-911000000.0,-545000000.0,-591000000.0,-984000000.0,
Operating Cash Flow,4903000000.0,-2636000000.0,2716000000.0,5908000000.0,7438000000.0,
Cash Flow From Continuing Operating Activities,4903000000.0,-2636000000.0,2716000000.0,5908000000.0,7438000000.0,
Change In Working Capital,2721000000.0,-6044000000.0,-732000000.0,2754000000.0,4037000000.0,
Change In Other Current Liabilities,46000000.0,-507000000.0,-445000000.0,456000000.0,2036000000.0,
Change In Other Current Assets,-2836000000.0,8000000.0,395000000.0,342000000.0,-1255000000.0,
Change In Payables And Accrued Expense,843000000.0,-3133000000.0,2929000000.0,1037000000.0,3179000000.0,
Change In Payable,843000000.0,-3133000000.0,2929000000.0,1037000000.0,3179000000.0,
Change In Account Payable,-1410000000.0,1152000000.0,2584000000.0,1085000000.0,-1203000000.0,
Change In Inventory,1660000000.0,-72000000.0,-495000000.0,972000000.0,828000000.0,
Change In Receivables,3008000000.0,-2340000000.0,-3116000000.0,-53000000.0,-751000000.0,
Changes In Account Receivables,3008000000.0,-2340000000.0,-3116000000.0,-53000000.0,-751000000.0,
Stock Based Compensation,137000000.0,127000000.0,154000000.0,204000000.0,103000000.0,
Asset Impairment Charge,,,,,,0.0
Deferred Tax,-217000000.0,-316000000.0,-447000000.0,-68000000.0,155000000.0,
Deferred Income Tax,-217000000.0,-316000000.0,-447000000.0,-68000000.0,155000000.0,
Depreciation Amortization Depletion,1138000000.0,1134000000.0,1127000000.0,1104000000.0,1001000000.0,
Depreciation And Amortization,1138000000.0,1134000000.0,1127000000.0,1104000000.0,1001000000.0,
Operating Gains Losses,,0.0,,,,-238000000.0
Gain Loss On Sale Of Business,,0.0,0.0,,,-250000000.0
Net Income From Continuing Operations,1124000000.0,2047000000.0,2265000000.0,1914000000.0,2142000000.0,
