,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Free Cash Flow,-734000000.0,-725000000.0,479000000.0,-817000000.0,-1663000000.0,
Repayment Of Debt,-1927000000.0,-594000000.0,-1597000000.0,-1367000000.0,-1647000000.0,
Issuance Of Debt,3825000000.0,1359000000.0,2125000000.0,3067000000.0,4087000000.0,
Issuance Of Capital Stock,4000000.0,,,,0.0,9000000.0
Capital Expenditure,-3208000000.0,-3294000000.0,-3045000000.0,-3119000000.0,-3146000000.0,
End Cash Position,518000000.0,357000000.0,574000000.0,567000000.0,624000000.0,
Beginning Cash Position,357000000.0,574000000.0,567000000.0,624000000.0,603000000.0,
Changes In Cash,161000000.0,-217000000.0,7000000.0,-57000000.0,21000000.0,
Financing Cash Flow,1029000000.0,-62000000.0,-274000000.0,940000000.0,1747000000.0,
Cash Flow From Continuing Financing Activities,1029000000.0,-62000000.0,-274000000.0,940000000.0,1747000000.0,
Net Other Financing Charges,-67000000.0,-29000000.0,30000000.0,31000000.0,122000000.0,
Cash Dividends Paid,-806000000.0,-806000000.0,-832000000.0,-791000000.0,-815000000.0,
Common Stock Dividend Paid,-806000000.0,-806000000.0,,,-815000000.0,
Net Common Stock Issuance,4000000.0,,,,0.0,9000000.0
Common Stock Issuance,4000000.0,,,,0.0,9000000.0
Net Issuance Payments Of Debt,1898000000.0,765000000.0,528000000.0,1700000000.0,2440000000.0,
Net Short Term Debt Issuance,-191000000.0,1081000000.0,-357000000.0,-317000000.0,-265000000.0,
Short Term Debt Payments,-535000000.0,1046000000.0,-872000000.0,-375000000.0,-267000000.0,
Short Term Debt Issuance,344000000.0,35000000.0,515000000.0,58000000.0,2000000.0,
Net Long Term Debt Issuance,2089000000.0,-316000000.0,885000000.0,2017000000.0,2705000000.0,
Long Term Debt Payments,-1392000000.0,-1640000000.0,-725000000.0,-992000000.0,-1380000000.0,
Long Term Debt Issuance,3481000000.0,1324000000.0,1610000000.0,3009000000.0,4085000000.0,
Investing Cash Flow,-3342000000.0,-2724000000.0,-3243000000.0,-3299000000.0,-3209000000.0,
Cash Flow From Continuing Investing Activities,-3342000000.0,-2724000000.0,-3243000000.0,-3299000000.0,-3209000000.0,
Net Other Investing Changes,-166000000.0,-202000000.0,-193000000.0,-182000000.0,-73000000.0,
Net Investment Purchase And Sale,39000000.0,26000000.0,3000000.0,18000000.0,16000000.0,
Sale Of Investment,985000000.0,976000000.0,1220000000.0,746000000.0,882000000.0,
Purchase Of Investment,-946000000.0,-950000000.0,-1217000000.0,-728000000.0,-866000000.0,
Net Business Purchase And Sale,-7000000.0,746000000.0,-8000000.0,-16000000.0,-6000000.0,
Purchase Of Business,-7000000.0,-4000000.0,-8000000.0,-16000000.0,-6000000.0,
Capital Expenditure Reported,-3208000000.0,-3294000000.0,-3045000000.0,-3119000000.0,-3146000000.0,
Operating Cash Flow,2474000000.0,2569000000.0,3524000000.0,2302000000.0,1483000000.0,
Cash Flow From Continuing Operating Activities,2474000000.0,2569000000.0,3524000000.0,2302000000.0,1483000000.0,
Change In Working Capital,-148000000.0,183000000.0,663000000.0,121000000.0,-717000000.0,
Change In Other Working Capital,-33000000.0,-47000000.0,-64000000.0,88000000.0,5000000.0,
Change In Other Current Liabilities,-59000000.0,306000000.0,324000000.0,37000000.0,-109000000.0,
Change In Other Current Assets,370000000.0,116000000.0,-36000000.0,318000000.0,249000000.0,
Change In Payables And Accrued Expense,-663000000.0,21000000.0,558000000.0,88000000.0,-1341000000.0,
Change In Payable,-663000000.0,21000000.0,558000000.0,88000000.0,-1341000000.0,
Change In Account Payable,-553000000.0,172000000.0,273000000.0,-52000000.0,-1193000000.0,
Change In Tax Payable,-110000000.0,-151000000.0,285000000.0,140000000.0,-148000000.0,
Change In Income Tax Payable,-110000000.0,-151000000.0,285000000.0,140000000.0,-148000000.0,
Change In Inventory,11000000.0,-175000000.0,-14000000.0,-242000000.0,-275000000.0,
Change In Receivables,226000000.0,-38000000.0,-105000000.0,-168000000.0,754000000.0,
Changes In Account Receivables,,,,,199000000.0,
Other Non Cash Items,-170000000.0,-261000000.0,-311000000.0,-195000000.0,-163000000.0,
Provisionand Write Offof Assets,-4000000.0,-4000000.0,-2000000.0,-24000000.0,-33000000.0,
Asset Impairment Charge,1000000.0,-1614000000.0,257000000.0,1434000000.0,8000000.0,
Deferred Tax,149000000.0,32000000.0,23000000.0,-142000000.0,90000000.0,
Deferred Income Tax,149000000.0,32000000.0,23000000.0,-142000000.0,90000000.0,
Depreciation Amortization Depletion,1534000000.0,1546000000.0,1622000000.0,1572000000.0,1344000000.0,
Depreciation And Amortization,1534000000.0,1546000000.0,1622000000.0,1572000000.0,1344000000.0,
Depreciation,1534000000.0,,,,1344000000.0,1429000000.0
Operating Gains Losses,-39000000.0,1691000000.0,-49000000.0,-260000000.0,193000000.0,
Earnings Losses From Equity Investments,-17000000.0,-28000000.0,-41000000.0,-9000000.0,-20000000.0,
Gain Loss On Sale Of Business,-10000000.0,,,,220000000.0,
Net Income From Continuing Operations,1151000000.0,996000000.0,1321000000.0,-204000000.0,761000000.0,
