,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Free Cash Flow,-236000000.0,-602000000.0,554000000.0,-585000000.0,-1414000000.0,
Repurchase Of Capital Stock,-19000000.0,,,,0.0,
Repayment Of Debt,-1613000000.0,-1094000000.0,-615000000.0,-2195000000.0,-1001000000.0,
Issuance Of Debt,2976000000.0,1696000000.0,597000000.0,2365000000.0,2641000000.0,
Issuance Of Capital Stock,12000000.0,546000000.0,3000000.0,3000000.0,10000000.0,
Capital Expenditure,-1279000000.0,-1457000000.0,-1280000000.0,-1387000000.0,-1324000000.0,
Interest Paid Supplemental Data,322000000.0,,,342000000.0,292000000.0,
Income Tax Paid Supplemental Data,0.0,,,,0.0,
End Cash Position,1287000000.0,532000000.0,449000000.0,198000000.0,838000000.0,
Beginning Cash Position,532000000.0,449000000.0,198000000.0,838000000.0,917000000.0,
Changes In Cash,755000000.0,83000000.0,251000000.0,-640000000.0,-79000000.0,
Financing Cash Flow,988000000.0,567000000.0,-339000000.0,-97000000.0,1316000000.0,
Cash Flow From Continuing Financing Activities,988000000.0,567000000.0,-339000000.0,-97000000.0,1316000000.0,
Net Other Financing Charges,-29000000.0,,7000000.0,8000000.0,-5000000.0,-7000000.0
Cash Dividends Paid,-339000000.0,-282000000.0,-331000000.0,-278000000.0,-329000000.0,
Preferred Stock Dividend Paid,-44000000.0,-3000000.0,-53000000.0,0.0,-52000000.0,
Common Stock Dividend Paid,-295000000.0,-279000000.0,-278000000.0,-278000000.0,-277000000.0,
Net Preferred Stock Issuance,-19000000.0,,,,0.0,0.0
Preferred Stock Payments,-19000000.0,,,,0.0,
Preferred Stock Issuance,,,,,,0.0
Net Common Stock Issuance,12000000.0,4000000.0,3000000.0,3000000.0,10000000.0,
Common Stock Issuance,12000000.0,4000000.0,3000000.0,3000000.0,10000000.0,
Net Issuance Payments Of Debt,1363000000.0,602000000.0,-18000000.0,170000000.0,1640000000.0,
Net Short Term Debt Issuance,-1012000000.0,790000000.0,-162000000.0,-1217000000.0,360000000.0,
Short Term Debt Payments,-1012000000.0,-463000000.0,-214000000.0,-1130000000.0,-600000000.0,
Short Term Debt Issuance,,1253000000.0,52000000.0,-87000000.0,960000000.0,-129000000.0
Net Long Term Debt Issuance,2375000000.0,-188000000.0,144000000.0,1387000000.0,1280000000.0,
Long Term Debt Payments,-601000000.0,-631000000.0,-401000000.0,-1065000000.0,-401000000.0,
Long Term Debt Issuance,2976000000.0,443000000.0,545000000.0,2452000000.0,1681000000.0,
Investing Cash Flow,-1276000000.0,-1339000000.0,-1244000000.0,-1345000000.0,-1305000000.0,
Cash Flow From Continuing Investing Activities,-1276000000.0,-1339000000.0,-1244000000.0,-1345000000.0,-1305000000.0,
Net Other Investing Changes,2000000.0,32000000.0,2000000.0,,,61000000.0
Net Investment Purchase And Sale,1000000.0,86000000.0,34000000.0,41000000.0,19000000.0,
Sale Of Investment,1258000000.0,1374000000.0,1256000000.0,1016000000.0,951000000.0,
Purchase Of Investment,-1257000000.0,-1288000000.0,-1222000000.0,-975000000.0,-932000000.0,
Capital Expenditure Reported,-1279000000.0,-1457000000.0,-1280000000.0,-1387000000.0,-1324000000.0,
Operating Cash Flow,1043000000.0,855000000.0,1834000000.0,802000000.0,-90000000.0,
Cash Flow From Continuing Operating Activities,1043000000.0,855000000.0,1834000000.0,802000000.0,-90000000.0,
Change In Working Capital,416000000.0,-166000000.0,988000000.0,-348000000.0,-1148000000.0,
Change In Other Working Capital,-73000000.0,23000000.0,1138000000.0,136000000.0,-705000000.0,
Change In Other Current Liabilities,419000000.0,-335000000.0,353000000.0,-295000000.0,-133000000.0,
Change In Payables And Accrued Expense,-19000000.0,-222000000.0,229000000.0,93000000.0,-508000000.0,
Change In Payable,-19000000.0,-222000000.0,229000000.0,93000000.0,-508000000.0,
Change In Account Payable,-19000000.0,-222000000.0,229000000.0,93000000.0,-508000000.0,
Change In Inventory,5000000.0,-23000000.0,4000000.0,-15000000.0,-29000000.0,
Change In Receivables,84000000.0,391000000.0,-736000000.0,-267000000.0,227000000.0,
Changes In Account Receivables,,343000000.0,-646000000.0,-273000000.0,227000000.0,555000000.0
Other Non Cash Items,-18000000.0,-143000000.0,,,5000000.0,-104000000.0
Asset Impairment Charge,,1000000.0,0.0,,,-6000000.0
Deferred Tax,-114000000.0,55000000.0,-10000000.0,51000000.0,12000000.0,
Deferred Income Tax,-114000000.0,55000000.0,-10000000.0,51000000.0,12000000.0,
Depreciation Amortization Depletion,707000000.0,687000000.0,663000000.0,695000000.0,676000000.0,
Depreciation And Amortization,707000000.0,687000000.0,663000000.0,695000000.0,676000000.0,
Net Income From Continuing Operations,52000000.0,421000000.0,212000000.0,409000000.0,365000000.0,
