,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,10863000.0,18690000.0,14040000.0,99900000.0,
Tax Rate For Calcs,0.071,0.21,0.27,0.27,
Normalized EBITDA,5695000000.0,4375000000.0,3950000000.0,3119000000.0,
Total Unusual Items,153000000.0,89000000.0,52000000.0,370000000.0,
Total Unusual Items Excluding Goodwill,153000000.0,89000000.0,52000000.0,370000000.0,
Net Income From Continuing Operation Net Minority Interest,1407000000.0,824000000.0,925000000.0,871000000.0,
Reconciled Depreciation,2721000000.0,2633000000.0,2288000000.0,2021000000.0,
Reconciled Cost Of Revenue,9538000000.0,11027000000.0,9115000000.0,8487000000.0,
EBITDA,5848000000.0,4464000000.0,4002000000.0,3489000000.0,
EBIT,3127000000.0,1831000000.0,1714000000.0,1468000000.0,
Net Interest Income,-1345000000.0,-1079000000.0,-921000000.0,-882000000.0,
Interest Expense,1612000000.0,1169000000.0,925000000.0,902000000.0,
Interest Income,267000000.0,90000000.0,4000000.0,20000000.0,
Normalized Income,1264863000.0,753690000.0,887040000.0,600900000.0,
Net Income From Continuing And Discontinued Operation,1407000000.0,824000000.0,925000000.0,871000000.0,
Total Expenses,13610000000.0,15552000000.0,13236000000.0,12508000000.0,
Total Operating Income As Reported,2627000000.0,1483000000.0,1477000000.0,1217000000.0,
Diluted Average Shares,385000000.0,383000000.0,380000000.0,374000000.0,
Basic Average Shares,383000000.0,381000000.0,380000000.0,373000000.0,
Diluted EPS,3.11,1.6,2.0,1.98,
Basic EPS,3.12,1.61,2.0,1.98,
Diluted NI Availto Com Stockholders,1197000000.0,612000000.0,759000000.0,739000000.0,
Net Income Common Stockholders,1197000000.0,612000000.0,759000000.0,739000000.0,
Preferred Stock Dividends,210000000.0,212000000.0,166000000.0,132000000.0,
Net Income,1407000000.0,824000000.0,925000000.0,871000000.0,
Minority Interests,,,,0.0,0.0
Net Income Including Noncontrolling Interests,1407000000.0,824000000.0,925000000.0,871000000.0,
Net Income Discontinuous Operations,,,,0.0,0.0
Net Income Continuous Operations,1407000000.0,824000000.0,925000000.0,871000000.0,
Tax Provision,108000000.0,-162000000.0,-136000000.0,-305000000.0,
Pretax Income,1515000000.0,662000000.0,789000000.0,566000000.0,
Other Income Expense,132000000.0,73000000.0,41000000.0,378000000.0,
Other Non Operating Income Expenses,-21000000.0,-16000000.0,-11000000.0,8000000.0,
Special Income Charges,156000000.0,88000000.0,49000000.0,370000000.0,
Gain On Sale Of Ppe,,5000000.0,2000000.0,133000000.0,5000000.0
Other Special Charges,-157000000.0,-137000000.0,-118000000.0,-121000000.0,
Impairment Of Capital Assets,1000000.0,49000000.0,69000000.0,-116000000.0,
Gain On Sale Of Security,-3000000.0,1000000.0,3000000.0,,
Net Non Operating Interest Income Expense,-1345000000.0,-1079000000.0,-921000000.0,-882000000.0,
Interest Expense Non Operating,1612000000.0,1169000000.0,925000000.0,902000000.0,
Interest Income Non Operating,267000000.0,90000000.0,4000000.0,20000000.0,
Operating Income,2728000000.0,1668000000.0,1669000000.0,1070000000.0,
Operating Expense,3986000000.0,4453000000.0,4051000000.0,3967000000.0,
Other Operating Expenses,,,,-133000000.0,-5000000.0
Other Taxes,571000000.0,501000000.0,465000000.0,438000000.0,
Depreciation Amortization Depletion Income Statement,2635000000.0,2561000000.0,2218000000.0,1967000000.0,
Depreciation And Amortization In Income Statement,2635000000.0,2561000000.0,2218000000.0,1967000000.0,
Selling General And Administration,780000000.0,1391000000.0,1368000000.0,1562000000.0,
General And Administrative Expense,780000000.0,1391000000.0,1368000000.0,1562000000.0,
Insurance And Claims,880000000.0,1527000000.0,1491000000.0,1664000000.0,
Salaries And Wages,-100000000.0,-136000000.0,-123000000.0,-102000000.0,
Gross Profit,6714000000.0,6121000000.0,5720000000.0,5037000000.0,
Cost Of Revenue,9624000000.0,11099000000.0,9185000000.0,8541000000.0,
Total Revenue,16338000000.0,17220000000.0,14905000000.0,13578000000.0,
Operating Revenue,16338000000.0,17220000000.0,14905000000.0,13578000000.0,
