,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Free Cash Flow,-2535000000.0,2063000000.0,849000000.0,1005000000.0,440000000.0,
Repayment Of Debt,-697000000.0,-588000000.0,-462000000.0,-357000000.0,-408000000.0,
Issuance Of Debt,776000000.0,1405000000.0,,,0.0,0.0
Capital Expenditure,-2777000000.0,-2307000000.0,-2459000000.0,-2060000000.0,-2073000000.0,
End Cash Position,12464000000.0,17189000000.0,16590000000.0,15879000000.0,16770000000.0,
Beginning Cash Position,17189000000.0,16590000000.0,15879000000.0,16770000000.0,16924000000.0,
Effect Of Exchange Rate Changes,-79000000.0,146000000.0,-98000000.0,-94000000.0,50000000.0,
Changes In Cash,-4646000000.0,453000000.0,809000000.0,-797000000.0,-204000000.0,
Financing Cash Flow,196000000.0,887000000.0,2263000000.0,-328000000.0,-233000000.0,
Cash Flow From Continuing Financing Activities,196000000.0,887000000.0,2263000000.0,-328000000.0,-233000000.0,
Net Other Financing Charges,-134000000.0,-82000000.0,-55000000.0,-34000000.0,-56000000.0,
Proceeds From Stock Option Exercised,251000000.0,152000000.0,254000000.0,63000000.0,231000000.0,
Net Issuance Payments Of Debt,79000000.0,817000000.0,2064000000.0,-357000000.0,-408000000.0,
Net Long Term Debt Issuance,79000000.0,817000000.0,2064000000.0,-357000000.0,-408000000.0,
Long Term Debt Payments,-697000000.0,-588000000.0,-462000000.0,-357000000.0,-408000000.0,
Long Term Debt Issuance,776000000.0,1405000000.0,,,0.0,0.0
Investing Cash Flow,-5084000000.0,-4804000000.0,-4762000000.0,-3534000000.0,-2484000000.0,
Cash Flow From Continuing Investing Activities,-5084000000.0,-4804000000.0,-4762000000.0,-3534000000.0,-2484000000.0,
Net Investment Purchase And Sale,-2307000000.0,-2497000000.0,-2315000000.0,-1398000000.0,-411000000.0,
Sale Of Investment,4315000000.0,3394000000.0,3816000000.0,3677000000.0,1604000000.0,
Purchase Of Investment,-6622000000.0,-5891000000.0,-6131000000.0,-5075000000.0,-2015000000.0,
Net Business Purchase And Sale,,0.0,12000000.0,,,
Net Intangibles Purchase And Sale,,0.0,0.0,0.0,0.0,0.0
Sale Of Intangibles,,0.0,0.0,,,0.0
Purchase Of Intangibles,,0.0,0.0,0.0,0.0,0.0
Net PPE Purchase And Sale,-2777000000.0,-2307000000.0,-2459000000.0,-2060000000.0,-2073000000.0,
Purchase Of PPE,-2777000000.0,-2307000000.0,-2459000000.0,-2060000000.0,-2073000000.0,
Operating Cash Flow,242000000.0,4370000000.0,3308000000.0,3065000000.0,2513000000.0,
Cash Flow From Continuing Operating Activities,242000000.0,4370000000.0,3308000000.0,3065000000.0,2513000000.0,
Change In Working Capital,-2661000000.0,798000000.0,-415000000.0,-1156000000.0,-1475000000.0,
Change In Other Working Capital,195000000.0,853000000.0,2000000.0,571000000.0,106000000.0,
Change In Other Current Liabilities,,,442000000.0,1004000000.0,620000000.0,888000000.0
Change In Other Current Assets,-12000000.0,2561000000.0,-1272000000.0,-2566000000.0,-675000000.0,
Change In Payables And Accrued Expense,1247000000.0,2629000000.0,-958000000.0,-469000000.0,1403000000.0,
Change In Prepaid Assets,-972000000.0,-2974000000.0,327000000.0,732000000.0,-737000000.0,
Change In Inventory,-2697000000.0,758000000.0,163000000.0,-576000000.0,-1540000000.0,
Change In Receivables,-422000000.0,-963000000.0,881000000.0,-472000000.0,-32000000.0,
Changes In Account Receivables,-422000000.0,-963000000.0,881000000.0,-472000000.0,-32000000.0,
Other Non Cash Items,-5000000.0,-13000000.0,35000000.0,44000000.0,15000000.0,
Stock Based Compensation,524000000.0,484000000.0,465000000.0,445000000.0,418000000.0,
Asset Impairment Charge,68000000.0,102000000.0,144000000.0,167000000.0,50000000.0,
Deferred Tax,-11000000.0,,,,-55000000.0,
Deferred Income Tax,-11000000.0,,,,-55000000.0,
Depreciation Amortization Depletion,1246000000.0,1232000000.0,1235000000.0,1154000000.0,1046000000.0,
Depreciation And Amortization,1246000000.0,1232000000.0,1235000000.0,1154000000.0,1046000000.0,
Depreciation,1246000000.0,,,1154000000.0,1046000000.0,989000000.0
Operating Gains Losses,-63000000.0,173000000.0,-34000000.0,-258000000.0,-25000000.0,
Net Foreign Currency Exchange Gain Loss,-63000000.0,173000000.0,-34000000.0,-258000000.0,-25000000.0,
Gain Loss On Sale Of PPE,,0.0,0.0,,,34000000.0
Net Income From Continuing Operations,1144000000.0,7943000000.0,1878000000.0,2614000000.0,2539000000.0,
